CustomerId,ItemId,ItemName,Count,UnitPrice
12,5654,Onions - Spanish,1,319.56
3,6530,Steampan - Half Size Shallow,4,223.86
4,9743,Meldea Green Tea Liquor,1,40.48
12,6675,Dc - Frozen Momji,1,226.74
17,4207,Dikon,3,98.52
15,45,Mcguinness - Blue Curacao,2,348.27
4,1994,Carbonated Water - Lemon Lime,3,6.58
18,7813,Cardamon Ground,2,140.36
10,7004,Shrimp - Baby; Cold Water,4,214.61
13,1329,Sauce - Vodka Blush,2,342.88
15,9243,Kale - Red,1,184.9
6,2871,Pasta - Lasagne; Fresh,4,80.46
18,8179,Eggs - Extra Large,3,340.96
20,7017,Wine - Bourgogne 2002; La,5,181.26
7,3179,Syrup - Monin - Blue Curacao,3,225.8
1,5818,Whmis - Spray Bottle Trigger,3,26.01
18,5433,Cheese - Bocconcini,3,216.69
8,5787,Vinegar - Tarragon,3,493.59
19,9020,Salsify; Organic,3,44.57
18,7318,Wine - Red; Metus Rose,5,117.7
4,5018,Pork - Side Ribs,1,308.73
1,548,Wine - Red; Lurton Merlot De,3,169.87
15,178,Jicama,2,403.31
15,1514,Tamarillo,3,484.73
14,2748,Turkey - Ground. Lean,3,14.87
12,40,Smoked Tongue,1,268.49
5,3243,Foam Dinner Plate,4,471.74
9,6620,Chips Potato Reg 43g,3,255.26
17,2370,Sauce - Plum,3,106.68
3,9947,Pork - Loin; Center Cut,2,62.15
8,2853,Paste - Black Olive,4,315.41
13,3264,Chick Peas - Canned,5,242.4
19,1607,Soup - Boston Clam Chowder,2,265.14
16,8969,Bread - Wheat Baguette,0,386.94
1,274,Pastry - Plain Baked Croissant,4,66.03
3,837,Beef - Outside; Round,5,148.21
6,1776,Bread - Calabrese Baguette,5,212.9
4,3903,Chicken - White Meat; No Tender,3,173.57
1,8797,Pepper - Jalapeno,2,247.76
9,2515,Flour - Bran; Red,2,414.59
3,1731,Chips Potato All Dressed - 43g,2,195.25
9,5276,Beef - Ground; Extra Lean; Fresh,3,393.84
2,1225,Mushroom - Portebello,-1,345.36
16,9768,Pepsi - Diet; 355 Ml,2,181.12
5,7413,Wine - Cousino Macul Antiguas,5,-9.59
10,1684,Sugar - Fine,2,455.1
1,8782,Tumeric,2,192.81
2,477,Lamb - Leg; Diced,1,100.02
20,6856,Tarts Assorted,2,173.1
4,8148,Hot Choc Vending,2,287.12
11,6119,Salmon - Smoked; Sliced,2,26.93
15,1212,Nantucket - Kiwi Berry Cktl.,4,26.08
3,5856,Oil - Sesame,4,187.22
19,891,Stock - Chicken; White,3,303.21
13,1995,Coffee Guatemala Dark,3,115.91
8,8459,Lid - 16 Oz And 32 Oz,1,353.33
15,8063,Gatorade - Cool Blue Raspberry,3,198.71
1,9686,Ocean Spray - Kiwi Strawberry,4,359.55
9,2097,Honey - Lavender,1,318.59
6,1774,Plums - Red,3,366.97
9,5377,Ecolab - Hobart Upr Prewash Arm,1,423.19
18,9938,Beef - Kindney; Whole,3,122.49
15,2779,Rum - Spiced; Captain Morgan,1,382.21
3,6410,Container - Hngd Cll Blk 7x7x3,5,388.79
14,8482,Instant Coffee,2,387.01
8,8098,Mayonnaise - Individual Pkg,2,465.44
6,3055,Coffee Caramel Biscotti,4,494.19
4,432,Wine - Ice Wine,1,384.95
10,6518,Pasta - Lasagna; Dry,3,74.73
7,255,Appetizer - Veg Assortment,2,51.61
15,246,Sauce - Plum,2,474.76
15,8807,Glass Clear 8 Oz,3,101.06
16,8229,Lamb - Sausage Casings,2,256.4
12,1198,Fondant - Icing,2,144.21
3,9736,Arizona - Green Tea,3,211.22
4,7749,Mortadella,4,103.64
15,7075,Soup Bowl Clear 8oz92008,5,252.53
11,2429,Clam - Cherrystone,2,367.35
8,7503,Lettuce - Iceberg,3,447.01
5,9959,Grouper - Fresh,5,119.61
10,6277,Vinegar - Cider,3,17.13
6,5338,Cilantro / Coriander - Fresh,5,248.05
8,3958,Cheese - Brick With Onion,0,-80.46
3,829,Onion Powder,2,238.55
20,6140,Mop Head - Cotton; 24 Oz,5,138.4
19,3828,Pasta - Fettuccine; Egg; Fresh,4,107.85
16,4680,Barley - Pearl,2,174.42
9,177,Veal - Shank; Pieces,3,306.18
13,5418,Beef - Tenderlion; Center Cut,4,159.11
17,8688,Pork Loin Cutlets,3,228.33
5,5176,Sprouts - Alfalfa,3,411.57
9,487,Syrup - Golden; Lyles,2,147.51
10,2473,Onions - Red,3,384.55
12,3439,Beef - Top Butt,1,335.12
4,4640,Tarragon - Fresh,1,416.44
6,3464,Sole - Dover; Whole; Fresh,3,277.34
11,6129,Bread - Italian Roll With Herbs,3,303.14
16,4414,Steam Pan Full Lid,3,417.94
4,1002,Calaloo,3,192.73
10,4880,Wine - Magnotta - Cab Franc,5,303.3
